iter	Passed	Remaining
0	136	136843
1	137	68778
2	138	46050
3	139	34679
4	139	27832
5	140	23281
6	141	20033
7	141	17592
8	142	15700
9	143	14182
10	143	12944
11	144	11915
12	145	11038
13	146	10285
14	146	9634
15	147	9061
16	147	8557
17	148	8106
18	149	7706
19	149	7346
20	150	7017
21	151	6722
22	151	6453
23	152	6207
24	153	5977
25	153	5764
26	154	5568
27	155	5387
28	155	5215
29	156	5058
30	157	4910
31	157	4772
32	158	4645
33	159	4521
34	159	4406
35	160	4297
36	161	4194
37	161	4096
38	162	4002
39	163	3913
40	163	3831
41	164	3753
42	165	3676
43	165	3604
44	166	3536
45	167	3472
46	168	3408
47	168	3347
48	169	3291
49	170	3234
50	171	3183
51	171	3131
52	172	3081
53	173	3032
54	173	2986
55	174	2944
56	175	2902
57	176	2861
58	176	2821
59	177	2780
60	178	2741
61	178	2704
62	179	2669
63	180	2634
64	180	2601
65	181	2568
66	182	2536
67	182	2501
68	183	2470
69	183	2441
70	184	2414
71	185	2387
72	186	2362
73	186	2335
74	187	2309
75	188	2286
76	188	2262
77	189	2238
78	190	2215
79	190	2192
80	191	2171
81	191	2149
82	192	2128
83	193	2107
84	193	2086
85	194	2066
86	194	2044
87	195	2026
88	196	2007
89	196	1990
90	197	1973
91	198	1956
92	198	1940
93	199	1924
94	200	1908
95	201	1894
96	201	1879
97	202	1865
98	203	1850
99	204	1836
100	204	1822
101	205	1805
102	205	1792
103	206	1778
104	207	1765
105	207	1753
106	208	1741
107	209	1728
108	210	1717
109	210	1705
110	211	1694
111	212	1683
112	213	1672
113	213	1662
114	214	1651
115	215	1640
116	215	1629
117	216	1619
118	217	1608
119	217	1598
120	218	1587
121	219	1578
122	219	1567
123	220	1557
124	221	1548
125	221	1538
126	222	1529
127	223	1519
128	223	1510
129	224	1502
130	225	1493
131	225	1484
132	226	1475
133	227	1467
134	227	1459
135	228	1451
136	229	1443
137	229	1434
138	230	1427
139	231	1419
140	231	1412
141	232	1405
142	233	1397
143	233	1390
144	234	1383
145	235	1376
146	236	1369
147	236	1362
148	237	1355
149	238	1348
150	238	1342
151	239	1335
152	240	1328
153	240	1322
154	241	1316
155	242	1309
156	242	1303
157	243	1297
158	244	1291
159	244	1285
160	245	1279
161	246	1273
162	246	1267
163	247	1261
164	248	1256
165	248	1250
166	249	1245
167	250	1239
168	250	1234
169	251	1229
170	252	1224
171	253	1219
172	253	1214
173	254	1209
174	255	1204
175	256	1199
176	256	1194
177	257	1189
178	258	1184
179	258	1179
180	259	1172
181	259	1167
182	260	1163
183	261	1158
184	261	1153
185	262	1149
186	263	1144
187	263	1140
188	264	1135
189	265	1131
190	266	1126
191	266	1122
192	267	1118
193	267	1113
194	268	1109
195	269	1105
196	270	1100
197	270	1096
198	271	1092
199	272	1088
200	272	1084
201	273	1080
202	274	1076
203	275	1073
204	275	1069
205	276	1066
206	277	1062
207	278	1059
208	279	1056
209	279	1052
210	280	1049
211	281	1045
212	281	1041
213	282	1038
214	283	1034
215	284	1030
216	284	1027
217	285	1023
218	286	1020
219	286	1016
220	287	1012
221	288	1009
222	288	1005
223	289	1002
224	290	999
225	290	996
226	291	993
227	292	989
228	293	986
229	293	983
230	294	980
231	295	977
232	296	974
233	296	971
234	297	968
235	298	966
236	299	963
237	299	960
238	300	957
239	301	954
240	302	951
241	302	948
242	303	945
243	304	942
244	304	939
245	305	936
246	306	933
247	306	930
248	307	926
249	308	924
250	308	921
251	309	917
252	309	915
253	310	912
254	311	909
255	311	906
256	312	904
257	313	901
258	314	899
259	315	897
260	316	894
261	316	892
262	317	890
263	318	888
264	319	886
265	320	883
266	321	881
267	321	878
268	322	876
269	323	873
270	323	871
271	324	868
272	325	866
273	326	864
274	327	862
275	327	860
276	328	857
277	329	855
278	330	853
279	331	851
280	331	848
281	332	846
282	333	844
283	334	842
284	334	840
285	335	838
286	336	835
287	337	833
288	337	831
289	338	829
290	339	827
291	340	825
292	341	823
293	341	820
294	342	818
295	343	816
296	344	814
297	344	812
298	345	809
299	346	807
300	346	805
301	347	802
302	348	800
303	348	798
304	349	796
305	350	794
306	351	792
307	351	790
308	352	788
309	353	786
310	353	783
311	354	781
312	355	779
313	355	777
314	356	775
315	357	772
316	357	770
317	358	768
318	358	766
319	359	764
320	360	761
321	360	759
322	361	757
323	361	755
324	362	752
325	363	750
326	363	748
327	364	746
328	365	744
329	365	742
330	366	740
331	367	738
332	367	736
333	368	734
334	368	732
335	369	730
336	370	728
337	370	726
338	371	724
339	372	722
340	372	720
341	373	718
342	373	716
343	374	714
344	375	712
345	375	710
346	376	708
347	376	706
348	377	704
349	378	702
350	378	700
